Name,Brand,Price,Rating,Processor_name,Threads,RAM_GB,RAM_type,Storage,Storage_type,Graphics_name,Display_size,Touch_screen,OS
Lenovo IdeaPad Slim,Lenovo,55390,2.91,Intel Core i5,12,16,LPDDR5,512, SSD,Intel Integrated UHD Graphics,14,FALSE,Windows 11 OS
HP Envy x360,HP,96990,2.96,AMD Ryzen 7,16,16,LPDDR5,512, SSD,AMD Radeon Graphics,14,TRUE,Windows 11 OS
HP 15s fq5327TU,HP,37490,2.86,Intel Core i3,8,8,DDR4,512, SSD,Intel UHD Graphics,15.6,FALSE,Windows 11 OS
Asus Vivobook S15,Asus,109990,2.91,Intel Core i9,20,16,LPDDR5,1000, SSD,Intel Iris Xe Graphics,15.6,FALSE,Windows 11 OS
Honor MagicBook X16,Honor,46990,2.96,Intel Core i5,12,16,LPDDR4X,512, SSD,Intel UHD Graphics,16,FALSE,Windows 11 OS
Lenovo ThinkBook 15,Lenovo,39990,2.99,AMD Ryzen 5,12,8,DDR4,512, SSD,AMD Radeon AMD,15.6,FALSE,Windows 11 OS
HP Victus 15,HP,65990,3.28,Intel Core i5,12,16,DDR4,512, SSD,NVIDIA GeForce RTX 2050,15.6,FALSE,Windows 11 OS
Zebronics Pro Series,Zebronics,27990,2.98,Intel Core i3,8,8,DDR4,512, SSD,Intel Integrated,15.6,FALSE,Windows 11 OS
Acer Nitro V,Acer,78052,3.25,Intel Core i5,12,16,DDR5,512, SSD,NVIDIA GeForce RTX 4050,15.6,FALSE,Windows 11 OS
HP Victus 16,HP,79990,3.19,AMD Ryzen 7,16,16,DDR5,512, SSD,NVIDIA GeForce RTX 3050,16.1,FALSE,Windows 11 OS
MSI Thin GF63,MSI,52990,3.52,Intel Core i5,12,16,DDR4,1256,Hard Disk & SSD,NVIDIA GeForce RTX 3050,15.6,FALSE,Windows 11 OS
Asus Vivobook Go,Asus,25990,2.87,Intel Celeron ,2,4,DDR4,256, SSD,Integrated Intel UHD Graphics,15.6,FALSE,Windows 11 OS
Lenovo Ideapad Gaming,Lenovo,55990,3.26,AMD Ryzen 5,12,16,DDR5,512, SSD,NVIDIA GeForce RTX 2050,15.6,FALSE,Windows 11 OS
Asus TUF Gaming,Asus,57990,3.31,Intel Core i5,12,16,DDR4,512, SSD,NVIDIA GeForce RTX 2050,15.6,FALSE,Windows 11 OS
HP Victus 15,HP,68990,3.27,Intel Core i5,12,16,DDR4,512, SSD,NVIDIA GeForce RTX 3050,15.6,FALSE,Windows 11 OS
HP 255 G8,HP,25580,3.18,AMD Ryzen 3,4,8,DDR4,512, SSD,AMD Radeon AMD,15.6,FALSE,Windows 11 OS
Samsung Galaxy Book2,Samsung,52990,2.92,Intel Core i5,12,16,LPDDR4,512, SSD,Intel Integrated UHD,15.6,FALSE,Windows 11 OS
Lenovo IdeaPad Gaming,Lenovo,54990,3.27,AMD Ryzen 5,12,16,DDR4,512, SSD,NVIDIA GeForce GTX 1650,15.6,FALSE,Windows 11 OS
Lenovo IdeaPad Slim,Lenovo,76990,2.97,Intel Core Ultra,18,16,LPDDR5,1000, SSD,Intel Arc Graphics,14,FALSE,Windows 11 OS
Asus ROG Strix,Asus,329990,3.83,Intel Core i9,32,32,DDR5,2000, SSD,NVIDIA GeForce RTX 4090,16,FALSE,Windows 11 OS
Colorful Evol P15,Colorful,89999,3.22,Intel Core i7,16,16,DDR5,512, SSD,NVIDIA GeForce RTX 4060,15.6,FALSE,Windows 11 OS
